Artist,Title,Mix,BPM,Genre,Label,Year,Download
Amanda Ply,I Secretly,Ñ,80,Top 40,Tubby Tunes,2012,Amazon
Amanda Wilkinson,No More Me & You,Ñ,109,Top 40,Universal South,2005,Amazon
Amel Larrieux,For Real,Ñ,69,Top 40,Blisslife Records,2004,Amazon
American Authors,Believer,New Version,120,Top 40,Island/Universal Republic,2014,Amazon
American Authors,Believer,Quick Edit*,120,Top 40,Island/Universal Republic,2014,Amazon
American Authors,Best Day Of My Life,Quick Edit*,100,Top 40,Island/Island Def Jam,2014,Amazon
American Authors,Best Day Of My Life,Ñ,100,Top 40,Island/Island Def Jam,2014,Amazon
American Authors,Go Big Or Go Home,Quick Edit*,122,Top 40,Island/Republic,2015,Amazon
American Authors,Pride,Quick Edit*,104,Top 40,Island/Republic,2016,Amazon
American Authors,Pride,American Sign Language Video,104,Top 40,Island/Republic,2016,Amazon
American Authors,Pride,Ñ,104,Top 40,Island/Republic,2016,Amazon
Amerie,1 Thing,Ñ,100,Top 40,Columbia,2005,Amazon
Amerie,Why R U,Ñ,93,Top 40,Def Jam/Island Def Jam,2009,Amazon
Amii Stewart,Knock On Wood,Ñ,144,Top 40,Hot Productions,2004,Amazon
Amos Lee,Flower,Ñ,76,Top 40,Blue Note,2011,Amazon
Amos Lee,Shout Out Loud,Ñ,77,Top 40,Blue Note Records,2006,Amazon
AMP,People's Song,Ñ,92,Top 40,Anointed,2013,Amazon
Amuka,I Want More (Cling On To Me),Subtek Breakbeat Remix,135,Top 40,KULT Records,2006,Amazon
Amy Grant ft. Keb' Mo',Come Be With Me,Ñ,88,Top 40,A&M Universal,2004,Amazon
Amy Lynn & The Gunshow,Don't Trip On The Glitter,Ñ,114,Top 40,Chipsnip,2014,Amazon
Amy Weber ft. Sean Kingston,Dance Of Life,Ñ,128,Top 40,Amy Weber,2014,Amazon
Amy Winehouse,Love Is A Losing Game,Ñ,82,Top 40,Universal Republic,2008,Amazon
Amy Winehouse,Our Day Will Come,Amy Winehouse Tribute Video,98,Top 40,Universal Republic,2012,Amazon
Amy Winehouse,Our Day Will Come,Ñ,98,Top 40,Universal Republic,2011,Amazon
Amy Winehouse,Rehab,Ñ,143,Top 40,Universal Republic Records,2007,Amazon
Amy Winehouse,Tears Dry On Their Own,Ñ,122,Top 40,Universal Republic,2007,Amazon
Amy Winehouse,You Know I'm No Good,Ñ,103,Top 40,Universal Republic Records,2007,Amazon
Anastacia,I Can Feel You,Ñ,116,Top 40,Island Def Jam,2009,Amazon
Anastacia,One Day In Your Life,Ñ,119,Top 40,Epic,2008,Amazon
Andrea LeClaire,Next Time,Ñ,100,Top 40,Surefire,2012,"Amazon, iTunes"
Andrea True Connection,"More, More, More",Ñ,103,Top 40,BMG,2004,Amazon
Andrew Ripp,Falling For The Beat,Ñ,105,Top 40,Be Music & Entertainment,2014,Amazon
Andy Allo,Tongue Tied,Ñ,110,Top 40,Allo Evolution,2015,Amazon
Andy Gibb,Shadow Dancing,Ñ,101,Top 40,Polygram,2004,Amazon
Andy Grammer,Back Home,Ñ,100,Top 40,S-Curve,2014,Amazon
Andy Grammer,Back Home,Lyric Video,100,Top 40,S-Curve,2014,Amazon
Andy Grammer,Fresh Eyes,Lyric Video,122,Top 40,S-Curve/Hollywood,2016,Amazon
Andy Grammer,Good To Be Alive (Hallelujah),EXPLICIT,120,Top 40,S-Curve,2015,Amazon
Andy Grammer,Good To Be Alive (Hallelujah),Ñ,120,Top 40,S-Curve,2015,Amazon
Andy Grammer,"Honey, I'm Good",Smile Edit,122,Top 40,S-Curve/Hollywood,2015,Amazon
Andy Grammer,"Honey, I'm Good",Ñ,123,Top 40,S-Curve,2015,Amazon
Andy Grammer,"Honey, I'm Good",Lyric Video,123,Top 40,S-Curve,2014,Amazon
Andy Griggs,If Heaven,Ñ,73,Top 40,RCA,2004,Amazon
"An Epic, No Less",Echo Of Love,Ñ,120,Top 40,Independent,2010,Amazon
Angel,Wonderful,Ñ,82,Top 40,Universal,2012,Amazon
"Angelique Kidjo ft. Bono, John Legend & The FELA! Dancers",Move On Up,Ñ,140,Top 40,Razor & Tie,2010,Amazon
Angel Taylor,Like You Do,Ñ,114,Top 40,Aware/Columbia,2010,Amazon
Angi3,Damage,EXPLICIT,124,Top 40,Tommy Boy,2014,Amazon
Angi3,Damage,Clean Edit*,124,Top 40,Tommy Boy,2014,Amazon
Angi3,Jump In,Ñ,77,Top 40,Tommy Boy,2013,Amazon
Angie Stone,I Wasn't Kidding,Freemasons Dub,126,Top 40,J,2006,Amazon
Anita Baker,You're My Everything,Ñ,91,Top 40,Blue Note Records,2004,Amazon
Anjulie,Addicted2Me,Ñ,109,Top 40,Hear/Concord,2010,Amazon
Anjulie,Headphones,Ñ,84,Top 40,Universal Republic,2012,Amazon
